Title:,US Population Data,,
Source:,ourworldindata.org,,
Data Range:,1950-2020,,
Comments:,Data are estimates and some entries are not integers,,
,,,
Year,Population,Births,Deaths
1950,154202683,3697926,1479684
1951,156481322,3810644,1502719
1952,158794225,3900093,1509927
1953,161168319,3954926,1520815.1
1954,163636304,4069617,1477219
1955,166200030,4094908,1512646
1956,168824963,4204606,1541406
1957,171499235,4285950,1600223
1958,174215305,4345661,1606223
1959,177145772,4349362,1607084
1960,180274554,4370880,1663925
1961,183489491,4379242,1659390
1962,186724277,4268551,1724774
1963,189825228,4185449.2,1792424
1964,192819456,4125771,1788484
1965,195653775,3895103,1827277
1966,198265397,3746479,1873628
1967,200699913,3645103,1872056
1968,203011021,3629481,1960250
1969,205300032,3748362,1957830
1970,207796339,3894161,1960710
1971,210426424,3718310,1970009
1972,212842574,3417716,2000830
1973,215006548,3301844,2007476
1974,217076474,3322229,1966881
1975,219129300,3309291,1921059.9
1976,221168756,3335451,1935442
1977,223259417,3489832,1921168
1978,225396098,3516171,1945058
1979,227575083,3654688,1927895
1980,229858654,3745108,2004241
1981,232201613,3759893,1993818
1982,234583158,3806566,1992793
1983,236986362,3769043,2039396
1984,239353968,3781908,2061979
1985,241690439,3844129,2112667
1986,243953810,3835775,2132378
1987,246161292,3889634,2151957
1988,248393235,3984018,2199393
1989,250675047,4097526.8,2180293
1990,253373385,4172065,2178346
1991,256471425,4114563,2199359.2
1992,259606020,4050344,2203670
1993,262633235,3970052,2295674
1994,265474811,3906002,2305019
1995,268205794,3845004,2336342
1996,270860696,3824283,2337807
1997,273468014,3807342,2337756
1998,276119323,3849741,2358735
1999,278785482,3872873,2413013
2000,281484127,3956650,2423914
2001,284279629,3930346,2432923
2002,287084336,3924849,2461854
2003,289908091,3983291,2466663
2004,292786247,4014648,2419815
2005,295716665,4055468,2472159
2006,298730210,4179497,2452681
2007,301844227,4232701,2450591
2008,304970328,4184009.8,2502103
2009,308023451,4089073,2468889
2010,311062786,3978953,2502227
2011,314105078,3942528,2553168
2012,317115348,3942569,2567419
2013,320110753,3930896,2611127
2014,323115378,3984348,2631369
2015,326126498,3982193,2707668
2016,329179421,3952809,2732734
2017,332204656,3872480,2795952
2018,335056495,3816077,2818624
2019,337790068,3772693,2842471
2020,339436157,3641990,3384292
