"export-plot data (NetLogo 6.1.1)"
"density-dependent-population.nlogo"
"01/28/2025 16:35:07:974 -0500"

"MODEL SETTINGS"
"death-per-thousand","birth-per-thousand","death-increment","initial-population"
"33","49","0.15","20"

"""dynamics"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","619","0","5000","true","""population""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""population""","true","0","1","115","500"
"""births""","true","0","1","105","500"
"""deaths""","true","0","1","15","500"

"""population""",,,,"""births""",,,,"""deaths"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","20","115","true","0","0","105","true","0","0","15","true"
"1","20","115","true","1","0","105","true","1","0","15","true"
"2","20","115","true","2","1","105","true","2","1","15","true"
"3","19","115","true","3","0","105","true","3","1","15","true"
"4","19","115","true","4","1","105","true","4","1","15","true"
"5","21","115","true","5","3","105","true","5","1","15","true"
"6","22","115","true","6","1","105","true","6","0","15","true"
"7","22","115","true","7","1","105","true","7","1","15","true"
"8","24","115","true","8","2","105","true","8","0","15","true"
"9","23","115","true","9","0","105","true","9","1","15","true"
"10","23","115","true","10","1","105","true","10","1","15","true"
"11","24","115","true","11","1","105","true","11","0","15","true"
"12","26","115","true","12","3","105","true","12","1","15","true"
"13","28","115","true","13","3","105","true","13","1","15","true"
"14","28","115","true","14","1","105","true","14","1","15","true"
"15","24","115","true","15","0","105","true","15","4","15","true"
"16","24","115","true","16","1","105","true","16","1","15","true"
"17","24","115","true","17","1","105","true","17","1","15","true"
"18","27","115","true","18","3","105","true","18","0","15","true"
"19","27","115","true","19","1","105","true","19","1","15","true"
"20","27","115","true","20","1","105","true","20","1","15","true"
"21","28","115","true","21","1","105","true","21","0","15","true"
"22","30","115","true","22","3","105","true","22","1","15","true"
"23","32","115","true","23","3","105","true","23","1","15","true"
"24","30","115","true","24","0","105","true","24","2","15","true"
"25","29","115","true","25","0","105","true","25","1","15","true"
"26","29","115","true","26","1","105","true","26","1","15","true"
"27","30","115","true","27","1","105","true","27","0","15","true"
"28","32","115","true","28","2","105","true","28","0","15","true"
"29","35","115","true","29","3","105","true","29","0","15","true"
"30","34","115","true","30","1","105","true","30","2","15","true"
"31","34","115","true","31","0","105","true","31","0","15","true"
"32","34","115","true","32","0","105","true","32","0","15","true"
"33","34","115","true","33","2","105","true","33","2","15","true"
"34","35","115","true","34","1","105","true","34","0","15","true"
"35","36","115","true","35","1","105","true","35","0","15","true"
"36","35","115","true","36","1","105","true","36","2","15","true"
"37","35","115","true","37","1","105","true","37","1","15","true"
"38","36","115","true","38","1","105","true","38","0","15","true"
"39","36","115","true","39","3","105","true","39","3","15","true"
"40","35","115","true","40","0","105","true","40","1","15","true"
"41","36","115","true","41","1","105","true","41","0","15","true"
"42","36","115","true","42","0","105","true","42","0","15","true"
"43","39","115","true","43","4","105","true","43","1","15","true"
"44","38","115","true","44","1","105","true","44","2","15","true"
"45","38","115","true","45","1","105","true","45","1","15","true"
"46","40","115","true","46","5","105","true","46","3","15","true"
"47","41","115","true","47","2","105","true","47","1","15","true"
"48","42","115","true","48","1","105","true","48","0","15","true"
"49","44","115","true","49","4","105","true","49","2","15","true"
"50","48","115","true","50","4","105","true","50","0","15","true"
