"export-plot data (NetLogo 6.4.0)"
"naive-population.nlogo"
"01/15/2025 18:22:53:998 -0500"

"MODEL SETTINGS"
"birth-percent","death-color","living-color","birth-color","initial-population","death-percent"
"16","15","115","9.9","20","9"

"""dynamics"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","2710","true","""population""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""population""","true","0","1","115","70"
"""births""","true","0","1","105","70"
"""deaths""","true","0","1","15","70"

"""population""",,,,"""births""",,,,"""deaths"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","20","115","true","0","0","105","true","0","0","15","true"
"1","22","115","true","1","4","105","true","1","2","15","true"
"2","24","115","true","2","4","105","true","2","2","15","true"
"3","25","115","true","3","4","105","true","3","3","15","true"
"4","33","115","true","4","10","105","true","4","2","15","true"
"5","33","115","true","5","4","105","true","5","4","15","true"
"6","39","115","true","6","7","105","true","6","1","15","true"
"7","47","115","true","7","10","105","true","7","2","15","true"
"8","49","115","true","8","7","105","true","8","5","15","true"
"9","51","115","true","9","9","105","true","9","7","15","true"
"10","55","115","true","10","7","105","true","10","3","15","true"
"11","57","115","true","11","8","105","true","11","6","15","true"
"12","56","115","true","12","6","105","true","12","7","15","true"
"13","62","115","true","13","11","105","true","13","5","15","true"
"14","61","115","true","14","6","105","true","14","7","15","true"
"15","66","115","true","15","10","105","true","15","5","15","true"
"16","70","115","true","16","8","105","true","16","4","15","true"
"17","75","115","true","17","10","105","true","17","5","15","true"
"18","77","115","true","18","9","105","true","18","7","15","true"
"19","79","115","true","19","10","105","true","19","8","15","true"
"20","88","115","true","20","15","105","true","20","6","15","true"
"21","97","115","true","21","21","105","true","21","12","15","true"
"22","105","115","true","22","18","105","true","22","10","15","true"
"23","104","115","true","23","9","105","true","23","10","15","true"
"24","107","115","true","24","11","105","true","24","8","15","true"
"25","119","115","true","25","20","105","true","25","8","15","true"
"26","122","115","true","26","18","105","true","26","15","15","true"
"27","136","115","true","27","24","105","true","27","10","15","true"
"28","144","115","true","28","23","105","true","28","15","15","true"
"29","158","115","true","29","26","105","true","29","12","15","true"
"30","181","115","true","30","29","105","true","30","6","15","true"
"31","198","115","true","31","22","105","true","31","5","15","true"
"32","207","115","true","32","29","105","true","32","20","15","true"
"33","211","115","true","33","26","105","true","33","22","15","true"
"34","221","115","true","34","25","105","true","34","15","15","true"
"35","240","115","true","35","35","105","true","35","16","15","true"
"36","262","115","true","36","43","105","true","36","21","15","true"
"37","277","115","true","37","40","105","true","37","25","15","true"
"38","306","115","true","38","51","105","true","38","22","15","true"
"39","333","115","true","39","51","105","true","39","24","15","true"
"40","353","115","true","40","54","105","true","40","34","15","true"
"41","375","115","true","41","53","105","true","41","31","15","true"
"42","400","115","true","42","62","105","true","42","37","15","true"
"43","436","115","true","43","70","105","true","43","34","15","true"
"44","473","115","true","44","74","105","true","44","37","15","true"
"45","509","115","true","45","79","105","true","45","43","15","true"
"46","539","115","true","46","81","105","true","46","51","15","true"
"47","573","115","true","47","83","105","true","47","49","15","true"
"48","605","115","true","48","79","105","true","48","47","15","true"
"49","629","115","true","49","91","105","true","49","67","15","true"
"50","669","115","true","50","101","105","true","50","61","15","true"
"51","732","115","true","51","107","105","true","51","44","15","true"
"52","772","115","true","52","112","105","true","52","72","15","true"
"53","830","115","true","53","129","105","true","53","71","15","true"
"54","881","115","true","54","130","105","true","54","79","15","true"
"55","951","115","true","55","142","105","true","55","72","15","true"
"56","1031","115","true","56","168","105","true","56","88","15","true"
"57","1074","115","true","57","152","105","true","57","109","15","true"
"58","1132","115","true","58","166","105","true","58","108","15","true"
"59","1199","115","true","59","166","105","true","59","99","15","true"
"60","1260","115","true","60","171","105","true","60","110","15","true"
"61","1357","115","true","61","206","105","true","61","109","15","true"
"62","1444","115","true","62","216","105","true","62","129","15","true"
"63","1551","115","true","63","239","105","true","63","132","15","true"
"64","1658","115","true","64","256","105","true","64","149","15","true"
"65","1784","115","true","65","271","105","true","65","145","15","true"
"66","1876","115","true","66","273","105","true","66","181","15","true"
"67","2017","115","true","67","301","105","true","67","160","15","true"
"68","2148","115","true","68","304","105","true","68","173","15","true"
"69","2312","115","true","69","343","105","true","69","179","15","true"
"70","2466","115","true","70","356","105","true","70","202","15","true"
